id,name,download_link,filing_date
12211113,公司章程,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0622/2026062202130_c.pdf,2026-06-22
12211099,於2026年6月22日舉行之年度股東會投票表決結果修訂公司章程委任獨立非執行董事及董事會委員會成員變更,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0622/2026062202116_c.pdf,2026-06-22
12210969,董事名單與其角色和職能,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0622/2026062201768_c.pdf,2026-06-22
12202561,自願公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0615/2026061500278_c.pdf,2026-06-15
12189229,截至二零二六年五月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0604/2026060400960_c.pdf,2026-06-04
12182662,2026年度股份激勵計劃,https://www1.hkexnews.hk/listedco/listconews/sehk/dod/tc.html,2026-06-02
12182660,年度股東會適用之代表委任表格,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0602/2026060200010_c.pdf,2026-06-02
12182658,2025年年度股東會通告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0602/2026060200008_c.pdf,2026-06-02
12182656,2025年年度股東會通函,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0602/2026060200006_c.pdf,2026-06-02
12182578,提名獨立非執行董事 及 董事會委員會成員變更,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0601/2026060104117_c.pdf,2026-06-01
12182572,(1)建議A股發行並在科創板上市及其他附加決議案 及 (2)建議變更本公司英文名稱及建議修訂公司章程,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0601/2026060104111_c.pdf,2026-06-01
12150755,截至二零二六年四月三十日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0507/2026050700622_c.pdf,2026-05-07
12148241,獨立非執行董事辭任,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0506/2026050600939_c.pdf,2026-05-06
12117868,致H股非登記持有人之通知信函及申請表格 - 以電子方式發佈公司通訊之安排,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300953_c.pdf,2026-04-23
12117798,致H股登記股東之通知信函 - 以電子方式發佈公司通訊之安排,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300883_c.pdf,2026-04-23
12111162,2025環境、社會及管治報告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0419/2026041900088_c.pdf,2026-04-19
12111160,2025年度報告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0419/2026041900086_c.pdf,2026-04-19
12105582,須予披露交易 收購目標公司100%股權,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0414/2026041401145_c.pdf,2026-04-14
12097567,截至二零二六年三月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0408/2026040801410_c.pdf,2026-04-08
12083545,建議採納股份激勵計劃,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0331/2026033101992_c.pdf,2026-03-31
12082644,截至2025年12月31日止年度的年度業績公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0331/2026033101550_c.pdf,2026-03-31
12057711,董事會會議通知,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0318/2026031801265_c.pdf,2026-03-18
12040172,截至二零二六年二月二十八日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0304/2026030400929_c.pdf,2026-03-04
12019065,翌日披露報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0209/2026020900303_c.pdf,2026-02-09
12016208,截至二零二六年一月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0205/2026020501313_c.pdf,2026-02-05
12014843,悉數行使超額配股權、穩定價格行動及穩定價格期結束,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0204/2026020402111_c.pdf,2026-02-04
11988182,根據上市規則第13.10條作出之公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0112/2026011201132_c.pdf,2026-01-12
11984122,發售價及配發結果公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0107/2026010701799_c.pdf,2026-01-07
11982388,董事名單與其角色及職能,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0107/2026010700026_c.pdf,2026-01-07
11982384,董事會提名委員會實施細則,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0107/2026010700022_c.pdf,2026-01-07
11982382,董事會薪酬委員會實施細則,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0107/2026010700020_c.pdf,2026-01-07
11982376,董事會審計委員會實施細則,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0107/2026010700014_c.pdf,2026-01-07
11982368,公司章程,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0107/2026010700006_c.pdf,2026-01-07
